Report year,Agency name,Is agency active,Administrating agency name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS  AUD
2011-2012,"Minister for Families, Community Services and Indigenous Affairs",TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",FALSE,31/07/2012 11:33,FALSE,0,9,13,6,2,1,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
2011-2012,Minister for Homelessness,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Housing,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Social Housing and Homelessness,FALSE,No data,"Families, Housing, Community Services & Indigenous Affairs",TRUE,22/02/2012 9:06,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for the Status of Women,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:51,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Office of the Registrar of Indigenous Corporations,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,20/07/2012 15:00,FALSE,0,8,420,0,0,15,0,0,0,2,40,0,0,0,1441,0,0,0,0,0,890,0,0,0
2011-2012,Parliamentary Secretary for Community Services,FALSE,No data,"Families, Housing, Community Services & Indigenous Affairs",TRUE,22/02/2012 9:05,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Disabilities and Carers,TRUE,"Dept of Families, Housing, Community Services and Indigenous Affairs","Families, Housing, Community Services & Indigenous Affairs",TRUE,30/07/2012 15:51,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Social Security Appeals Tribunal,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,20/07/2012 9:30,FALSE,0,3,103,0,0,0,0,0,0,4,30,0,0,0,170,0,0,0,0,0,580,0,0,0
2011-2012,Torres Strait Regional Authority,TRUE,No data,"Families, Housing, Community Services & Indigenous Affairs",FALSE,29/05/2012 12:25,FALSE,0,4,35,70,140,0,4,6,0,2,35,35,140,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Albury-Wodonga Corporation,TRUE,No data,Finance and Deregulation,TRUE,20/07/2012 10:06,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australasian Procurement and Construction Council Inc,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,18/07/2012 10:21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Electoral Commission,TRUE,No data,Finance and Deregulation,FALSE,27/01/2012 12:12,FALSE,0,2,9,0,2,0,0,0,0,12,27,0,35,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Political Exchange Council,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,18/07/2012 10:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Commonwealth Superannuation Corporation (previously ARIA),TRUE,No data,Finance and Deregulation,TRUE,6/07/2012 11:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,ComSuper,TRUE,No data,Finance and Deregulation,FALSE,1/03/2012 14:38,FALSE,0,4,1636,59,0,17,0,0,0,1,10,0,0,0,1702,0,2700,0,0,0,1000,0,0,0
2011-2012,Department of Finance and Deregulation,TRUE,Department of Finance and Deregulation,Finance and Deregulation,FALSE,7/06/2012 12:50,FALSE,2,280,3750,548,1370,548,97,15,0,0,0,0,0,0,4023,0,0,0,28600,0,890,0,0,0
2011-2012,Future Fund Management Agency,TRUE,No data,Finance and Deregulation,FALSE,2/02/2012 14:12,FALSE,0,31,0,8,375,66,0,0,0,1,0,0,10,0,0,0,54522,0,0,0,0,0,0,0
2011-2012,Minister Assisting for Deregulation,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,18/07/2012 10:22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Finance and Deregulation,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,24/07/2012 10:13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Retiring Allowances Trust,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,18/07/2012 10:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Secretaries' ICT Governance Board,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,19/06/2012 9:19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Special Minister of State,TRUE,Department of Finance and Deregulation,Finance and Deregulation,TRUE,24/07/2012 13:32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Agency for International Development (AusAID),TRUE,No data,Foreign Affairs and Trade,FALSE,9/05/2012 16:20,FALSE,0,3,1060,64,46,20,0,0,1,35,800,24,36,24,88,0,10280,0,0,0,5340,0,0,0
2011-2012,Australian Centre for International Agricultural Research,TRUE,No data,Foreign Affairs and Trade,FALSE,9/07/2012 12:21,FALSE,0,5,20,0,3,2,0,0,0,3,15,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Trade Commission (Austrade),TRUE,No data,Foreign Affairs and Trade,FALSE,28/06/2012 17:10,FALSE,0,12,260,60,30,25,0,0,0,3,30,3,0,0,500,50,12521,0,0,0,0,0,0,0
2011-2012,Department of Foreign Affairs and Trade,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,FALSE,9/07/2012 11:24,FALSE,8,1,10700,2060,872,0,39,39,0,2,250,150,400,0,8562,0,1000,0,0,0,0,0,0,0
2011-2012,Export Finance and Insurance Corporation,TRUE,No data,Foreign Affairs and Trade,FALSE,6/07/2012 15:10,FALSE,0,6,279,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,79014,0
2011-2012,Minister for Foreign Affairs,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,FALSE,16/07/2012 17:59,FALSE,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Trade and Competitiveness,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,17/07/2012 11:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Foreign Affairs,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,16/07/2012 18:22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Pacific Island Affairs,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,11/07/2012 17:40,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Trade,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,16/07/2012 18:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Biologicals,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 10:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Chemicals Scheduling ,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Complementary Medicines,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Medical Devices ,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Medicines Scheduling ,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Non-prescription Medicines ,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on Prescription Medicines,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on the Safety of Medical Devices,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 10:08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Committee on the Safety of Medicines,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 10:12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Advisory Panel on the Marketing in Australia of Infant Formula,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:26,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Aged Care Commissioner,TRUE,No data,Health and Ageing,FALSE,10/07/2012 11:32,FALSE,0,2,0,0,20,8,0,0,0,3,0,0,4,10,10,0,8000,2000,0,0,0,0,0,0
2011-2012,Aged Care Funding Instrument Reference Group,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:27,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Ageing Consultative Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:28,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australia and New Zealand Food Regulation Ministerial Council,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:29,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Commission on Safety and Quality in Health Care,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Commission on Safety and Quality in Healthcare Board,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 10:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Community Pharmacy Authority,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Institute of Health and Welfare,TRUE,No data,Health and Ageing,TRUE,3/07/2012 11:19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian National Council on Drugs,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:30,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian National Preventive Health Agency,TRUE,Department of Health and Ageing,Health and Ageing,FALSE,22/06/2012 11:12,FALSE,0,1,36,2,0,0,0,0,0,1,24,24,0,0,200,0,0,0,0,0,0,0,0,0
2011-2012,Australian Organ and Tissue Donation and Transplantation Authority,TRUE,No data,Health and Ageing,FALSE,13/07/2012 9:20,FALSE,0,1,20,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Population Health Development Principal Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:31,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Radiation Protection and Nuclear Safety Agency,TRUE,No data,Health and Ageing,FALSE,20/07/2012 12:09,FALSE,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Cancer Australia,TRUE,No data,Health and Ageing,TRUE,6/07/2012 10:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Complaints Resolution Panel (Therapeutic good advertising),TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Health and Ageing,TRUE,Department of Health and Ageing,Health and Ageing,FALSE,27/01/2012 12:12,FALSE,4,3,5400,94,2426,51,0,0,1,0,1013,0,0,0,15965,0,551130,0,0,0,23991,0,4235,0
2011-2012,Food Standards Australia New Zealand,TRUE,No data,Health and Ageing,FALSE,6/07/2012 12:58,FALSE,0,31,122,20,309,1,0,0,0,3,55,0,0,0,550,0,0,0,0,0,6038,0,0,0
2011-2012,Gene Technology Ethics & Community Consultative Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Gene Technology Ministerial Council,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Gene Technology Regulator,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:35,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Gene Technology Technical Advisory Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,General Practice Recognition Appeal Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:39,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,General Practice Recognition Eligibility Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:40,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Health and Hospitals Fund Advisory Board,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 9:56,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Health Workforce Australia,TRUE,No data,Health and Ageing,TRUE,5/07/2012 12:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Hearing Services Consultative Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:41,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Independent Hospital Pricing Authority,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,19/07/2012 12:33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Independent Review PBS Cost Recovery Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 9:53,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Intergovernmental Committee on Drugs,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:42,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Medical Services Advisory Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:43,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Medical Training Review Panel,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Medicare Participation Review Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Health,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Indigenous Health,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:40,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Mental Health and Ageing,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,"Ministerial Advisory Committee on AIDS, Sexual Health and Hepatitis",FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:48,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Ministerial Council on Drug Strategy,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:49,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,National Blood Authority,TRUE,No data,Health and Ageing,FALSE,27/01/2012 12:12,FALSE,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,National Drugs and Poisons Schedule Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:49,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,National Health and Medical Research Council,TRUE,No data,Health and Ageing,FALSE,27/01/2012 12:12,FALSE,0,21,242,124,275,1,0,0,0,7,47,20,15,0,1300,200,0,0,0,0,3405,0,0,0
2011-2012,National Health Performance Agency ,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,National Industrial Chemicals Notification and Assessment Scheme,TRUE,No data,Health and Ageing,FALSE,13/07/2012 9:36,FALSE,0,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2345,2345,0,0
2011-2012,National Pathology Accreditation Advisory Council,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:50,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Nuclear Safety Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 11:51,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Health and Ageing,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Pathology Consultative Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 12:01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Pathology Services Table Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,22/02/2012 12:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Pharmaceutical Benefits Advisory Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:36,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Pharmaceutical Benefits Pricing Authority,FALSE,No data,Health and Ageing,TRUE,22/02/2012 12:02,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Pharmaceutical Benefits Remuneration Tribunal,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:37,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Private Health Insurance Administration Council,TRUE,No data,Health and Ageing,FALSE,16/07/2012 16:04,FALSE,2,2,5,0,0,2,0,0,1,1,1,0,0,1,470,125,0,0,0,0,0,0,0,0
2011-2012,Private Health Insurance Ombudsman,TRUE,No data,Health and Ageing,FALSE,9/07/2012 16:33,FALSE,0,2,12,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,500,0,0,0
2011-2012,Professional Services Review,TRUE,No data,Health and Ageing,FALSE,10/05/2012 12:09,FALSE,0,2,60,30,0,10,0,0,0,1,10,0,0,5,6550,480,10544,0,0,0,0,0,0,0
2011-2012,Prostheses List Advisory Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,22/02/2012 12:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Quality Use of Pathology Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 12:04,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Radiation Oncology Reform Implementation Committee,FALSE,No data,Health and Ageing,TRUE,22/02/2012 12:04,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Second Review Dental Benefits Act 2008 Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,16/07/2012 9:59,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Therapeutic Goods Advertising Code Council,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:38,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Therapeutic Goods Committee,TRUE,Department of Health and Ageing,Health and Ageing,TRUE,10/07/2012 15:38,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Hearing,TRUE,No data,Human Services,FALSE,19/07/2012 15:55,FALSE,0,2,8,2,0,8,0,0,0,2,100,10,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Human Services,TRUE,Department of Human Services,Human Services,FALSE,8/03/2012 14:59,FALSE,34,851,62000,0,7390,1560,0,0,2,8,3000,0,8000,0,87499,11946,431077,0,0,0,12000,0,0,0
2011-2012,Minister for Human Services,TRUE,Department of Human Services,Human Services,FALSE,19/07/2012 14:44,FALSE,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Department of Immigration and Citizenship,TRUE,Department of Immigration and Citizenship,Immigration and Citizenship,FALSE,30/07/2012 11:45,FALSE,46,29,130220,20,20,0,0,0,0,2,400,0,0,0,205251,0,21608,0,238842,0,17342,0,167111,0
2011-2012,Migration Review Tribunal,TRUE,Migration Review Tribunal,Immigration and Citizenship,FALSE,17/07/2012 16:23,FALSE,0,16,448,0,40,44,0,0,0,0,0,0,10,0,4424,0,0,0,0,0,285,0,838,0
2011-2012,Minister for Immigration and Citizenship,TRUE,Department of Immigration and Citizenship,Immigration and Citizenship,FALSE,30/07/2012 11:41,FALSE,0,5,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2011-2012,Minister for Multicultural Affairs,TRUE,Department of Immigration and Citizenship,Immigration and Citizenship,TRUE,30/07/2012 11:39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Parliamentary Secretary for Immigration and Multicultural Affairs,FALSE,No data,Immigration and Citizenship,TRUE,20/07/2012 9:57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Refugee Review Tribunal,TRUE,Migration Review Tribunal,Immigration and Citizenship,FALSE,16/07/2012 16:45,FALSE,0,16,475,0,46,100,0,0,0,5,18,1,17,0,7366,0,0,0,0,0,285,0,838,0
2011-2012,Australian Institute of Aboriginal and Torres Strait Islander Studies,TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",TRUE,24/07/2012 16:59,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Institute of Marine Science,TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",FALSE,17/07/2012 14:00,FALSE,0,3,10,0,6,0,0,0,0,6,40,0,7,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Australian Nuclear Science and Technology Organisation,TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",FALSE,28/07/2012 9:57,FALSE,1,5,200,0,204,87,0,0,0,3,5,0,10,0,1100,0,4806,0,0,0,300,0,0,0
2011-2012,Australian Research Council,TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",FALSE,25/07/2012 9:50,FALSE,0,8,0,0,224,7,0,0,0,3,0,0,10,24,300,0,0,0,0,0,0,0,0,0
2011-2012,Australian Skills Quality Authority,TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",FALSE,19/07/2012 13:06,FALSE,0,2,270,3,15,5,0,0,0,1,36,0,0,0,100,0,7323,0,0,0,1300,865,0,0
2011-2012,Commonwealth Scientific and Industrial Research Organisation (CSIRO),TRUE,No data,"Industry, Innovation, Science, Research and Tertiary Education",FALSE,7/03/2012 14:11,FALSE,1,1,2000,0,1600,1600,0,0,0,3,0,100,200,0,3000,0,0,0,0,0,0,0,0,0
